Unit_ID,District,Subdistrict,Village_No,Unit_No,Latitude,Longitude,Eligible_Voters,Voters_Showed_Up,Allocated_Ballots,Used_Ballots,Valid_Ballots,Invalid_Ballots,No_Vote_Ballots,Remaining_Ballots
KK10_CONST_หนองสองห้อง_ดอนดั่ง_M10_U10,หนองสองห้อง,ดอนดั่ง,10,10,15.7333,102.875,98.0,76.0,100,76,73,1,2,24
KK10_CONST_หนองสองห้อง_ดอนดั่ง_M1_U1,หนองสองห้อง,ดอนดั่ง,1,1,15.7333,102.875,407.0,196.0,380,196,189,6,1,184
KK10_CONST_หนองสองห้อง_ดอนดั่ง_M2_U2,หนองสองห้อง,ดอนดั่ง,2,2,15.7333,102.875,478.0,282.0,460,282,273,8,1,178
KK10_CONST_หนองสองห้อง_ดอนดั่ง_M3_U3,หนองสองห้อง,ดอนดั่ง,3,3,15.7333,102.875,315.0,160.0,300,160,151,7,2,140
KK10_CONST_หนองสองห้อง_ดอนดั่ง_M4_U4,หนองสองห้อง,ดอนดั่ง,4,4,15.7333,102.875,624.0,398.0,620,398,386,9,3,222
KK10_CONST_หนองสองห้อง_ดอนดั่ง_M5_U5,หนองสองห้อง,ดอนดั่ง,5,5,15.7333,102.875,258.0,187.0,260,187,183,2,2,73
KK10_CONST_หนองสองห้อง_ดอนดั่ง_M6_U6,หนองสองห้อง,ดอนดั่ง,6,6,15.7333,102.875,325.0,203.0,320,203,195,6,2,117
KK10_CONST_หนองสองห้อง_ดอนดั่ง_M7_U7,หนองสองห้อง,ดอนดั่ง,7,7,15.7333,102.875,483.0,296.0,460,296,282,14,0,164
KK10_CONST_หนองสองห้อง_ดอนดั่ง_M8_U8,หนองสองห้อง,ดอนดั่ง,8,8,15.7333,102.875,344.0,208.0,360,208,202,6,0,152
KK10_CONST_หนองสองห้อง_ดอนดั่ง_M9_U9,หนองสองห้อง,ดอนดั่ง,9,9,15.7333,102.875,277.0,170.0,280,170,161,6,3,110
KK10_CONST_หนองสองห้อง_ดอนดู่_M10_U10,หนองสองห้อง,ดอนดู่,10,10,15.8167,102.8583,212.0,118.0,200,118,113,3,2,82
KK10_CONST_หนองสองห้อง_ดอนดู่_M11_U11,หนองสองห้อง,ดอนดู่,11,11,15.8167,102.8583,263.0,148.0,260,148,135,13,0,112
KK10_CONST_หนองสองห้อง_ดอนดู่_M12_U12,หนองสองห้อง,ดอนดู่,12,12,15.8167,102.8583,456.0,267.0,440,267,251,15,1,173
