Unit_ID,Candidate_Number,Candidate_Name,Score
KK10_CONST_โนนศิลา_เปือยใหญ่_M2_U2,3,นายนิวัตร สระพรม,9
KK10_CONST_โนนศิลา_เปือยใหญ่_M2_U2,4,นายวิระศักดิ์ สายทอง,13
KK10_CONST_โนนศิลา_เปือยใหญ่_M2_U2,5,นายพชรกร อรรณนพพร,133
KK10_CONST_โนนศิลา_เปือยใหญ่_M2_U2,6,นายประยูร เทียมทะนง,0
KK10_CONST_โนนศิลา_เปือยใหญ่_M3_U3,1,นายวันนิวัติ สมบูรณ์,37
KK10_CONST_โนนศิลา_เปือยใหญ่_M3_U3,2,ร.ต.ท.สงวน คมขาว,0
KK10_CONST_โนนศิลา_เปือยใหญ่_M3_U3,3,นายนิวัตร สระพรม,13
KK10_CONST_โนนศิลา_เปือยใหญ่_M3_U3,4,นายวิระศักดิ์ สายทอง,0
KK10_CONST_โนนศิลา_เปือยใหญ่_M3_U3,5,นายพชรกร อรรณนพพร,88
KK10_CONST_โนนศิลา_เปือยใหญ่_M3_U3,6,นายประยูร เทียมทะนง,1
KK10_CONST_โนนศิลา_เปือยใหญ่_M4_U4,1,นายวันนิวัติ สมบูรณ์,34
KK10_CONST_โนนศิลา_เปือยใหญ่_M4_U4,2,ร.ต.ท.สงวน คมขาว,1
KK10_CONST_โนนศิลา_เปือยใหญ่_M4_U4,3,นายนิวัตร สระพรม,4
KK10_CONST_โนนศิลา_เปือยใหญ่_M4_U4,4,นายวิระศักดิ์ สายทอง,0
KK10_CONST_โนนศิลา_เปือยใหญ่_M4_U4,5,นายพชรกร อรรณนพพร,37
KK10_CONST_โนนศิลา_เปือยใหญ่_M4_U4,6,นายประยูร เทียมทะนง,0
KK10_CONST_โนนศิลา_เปือยใหญ่_M5_U5,1,นายวันนิวัติ สมบูรณ์,111
KK10_CONST_โนนศิลา_เปือยใหญ่_M5_U5,2,ร.ต.ท.สงวน คมขาว,2
KK10_CONST_โนนศิลา_เปือยใหญ่_M5_U5,3,นายนิวัตร สระพรม,30
KK10_CONST_โนนศิลา_เปือยใหญ่_M5_U5,4,นายวิระศักดิ์ สายทอง,7
KK10_CONST_โนนศิลา_เปือยใหญ่_M5_U5,5,นายพชรกร อรรณนพพร,169
KK10_CONST_โนนศิลา_เปือยใหญ่_M5_U5,6,นายประยูร เทียมทะนง,3
KK10_CONST_โนนศิลา_เปือยใหญ่_M6_U6,1,นายวันนิวัติ สมบูรณ์,127
KK10_CONST_โนนศิลา_เปือยใหญ่_M6_U6,2,ร.ต.ท.สงวน คมขาว,1
KK10_CONST_โนนศิลา_เปือยใหญ่_M6_U6,3,นายนิวัตร สระพรม,27
KK10_CONST_โนนศิลา_เปือยใหญ่_M6_U6,4,นายวิระศักดิ์ สายทอง,3
KK10_CONST_โนนศิลา_เปือยใหญ่_M6_U6,5,นายพชรกร อรรณนพพร,110
KK10_CONST_โนนศิลา_เปือยใหญ่_M6_U6,6,นายประยูร เทียมทะนง,1
KK10_CONST_โนนศิลา_เปือยใหญ่_M7_U7,1,นายวันนิวัติ สมบูรณ์,50
KK10_CONST_โนนศิลา_เปือยใหญ่_M7_U7,2,ร.ต.ท.สงวน คมขาว,1
KK10_CONST_โนนศิลา_เปือยใหญ่_M7_U7,3,นายนิวัตร สระพรม,6
KK10_CONST_โนนศิลา_เปือยใหญ่_M7_U7,4,นายวิระศักดิ์ สายทอง,2
KK10_CONST_โนนศิลา_เปือยใหญ่_M7_U7,5,นายพชรกร อรรณนพพร,98
KK10_CONST_โนนศิลา_เปือยใหญ่_M7_U7,6,นายประยูร เทียมทะนง,1
KK10_CONST_โนนศิลา_เปือยใหญ่_M8_U8,1,นายวันนิวัติ สมบูรณ์,55
KK10_CONST_โนนศิลา_เปือยใหญ่_M8_U8,2,ร.ต.ท.สงวน คมขาว,0
KK10_CONST_โนนศิลา_เปือยใหญ่_M8_U8,3,นายนิวัตร สระพรม,12
KK10_CONST_โนนศิลา_เปือยใหญ่_M8_U8,4,นายวิระศักดิ์ สายทอง,4
KK10_CONST_โนนศิลา_เปือยใหญ่_M8_U8,5,นายพชรกร อรรณนพพร,81
KK10_CONST_โนนศิลา_เปือยใหญ่_M8_U8,6,นายประยูร เทียมทะนง,0
KK10_CONST_โนนศิลา_โนนศิลา_M1_U1,1,นายวันนิวัติ สมบูรณ์,100
KK10_CONST_โนนศิลา_โนนศิลา_M1_U1,2,ร.ต.ท.สงวน คมขาว,0
KK10_CONST_โนนศิลา_โนนศิลา_M1_U1,3,นายนิวัตร สระพรม,35
KK10_CONST_โนนศิลา_โนนศิลา_M1_U1,4,นายวิระศักดิ์ สายทอง,2
KK10_CONST_โนนศิลา_โนนศิลา_M1_U1,5,นายพชรกร อรรณนพพร,178
KK10_CONST_โนนศิลา_โนนศิลา_M1_U1,6,นายประยูร เทียมทะนง,1
KK10_CONST_โนนศิลา_โนนศิลา_M2_U1,1,นายวันนิวัติ สมบูรณ์,52
KK10_CONST_โนนศิลา_โนนศิลา_M2_U1,2,ร.ต.ท.สงวน คมขาว,1
KK10_CONST_โนนศิลา_โนนศิลา_M2_U1,3,นายนิวัตร สระพรม,33
KK10_CONST_โนนศิลา_โนนศิลา_M2_U1,4,นายวิระศักดิ์ สายทอง,1
KK10_CONST_โนนศิลา_โนนศิลา_M2_U1,5,นายพชรกร อรรณนพพร,86
KK10_CONST_โนนศิลา_โนนศิลา_M2_U1,6,นายประยูร เทียมทะนง,1
KK10_CONST_โนนศิลา_ทต.โนนศิลา_M2_U2,1,นายวันนิวัติ สมบูรณ์,193
KK10_CONST_โนนศิลา_ทต.โนนศิลา_M2_U2,2,ร.ต.ท.สงวน คมขาว,0
KK10_CONST_โนนศิลา_ทต.โนนศิลา_M2_U2,3,นายนิวัตร สระพรม,41
KK10_CONST_โนนศิลา_ทต.โนนศิลา_M2_U2,4,นายวิระศักดิ์ สายทอง,1
KK10_CONST_โนนศิลา_ทต.โนนศิลา_M2_U2,5,นายพชรกร อรรณนพพร,171
KK10_CONST_โนนศิลา_ทต.โนนศิลา_M2_U2,6,นายประยูร เทียมทะนง,0
KK10_CONST_โนนศิลา_โนนศิลา_M6_U2,1,นายวันนิวัติ สมบูรณ์,56
KK10_CONST_โนนศิลา_โนนศิลา_M6_U2,2,ร.ต.ท.สงวน คมขาว,2
KK10_CONST_โนนศิลา_โนนศิลา_M6_U2,3,นายนิวัตร สระพรม,30
