Unit_ID,District,Subdistrict,Village_No,Unit_No,Latitude,Longitude,Eligible_Voters,Voters_Showed_Up,Allocated_Ballots,Used_Ballots,Valid_Ballots,Invalid_Ballots,No_Vote_Ballots,Remaining_Ballots
KK10_โคกโพธิ์ไชย_โพธิ์ไชย_M10_U10,โคกโพธิ์ไชย,โพธิ์ไชย,10,10,15.9875,102.3958,474,311.0,480.0,311.0,288.0,19.0,4.0,169.0
KK10_โคกโพธิ์ไชย_โพธิ์ไชย_M1_U1,โคกโพธิ์ไชย,โพธิ์ไชย,1,1,15.9875,102.3958,637,422.0,640.0,422.0,385.0,36.0,1.0,218.0
KK10_โคกโพธิ์ไชย_โพธิ์ไชย_M2_U2,โคกโพธิ์ไชย,โพธิ์ไชย,2,2,15.9875,102.3958,553,383.0,560.0,383.0,344.0,35.0,4.0,177.0
KK10_โคกโพธิ์ไชย_โพธิ์ไชย_M3_U3,โคกโพธิ์ไชย,โพธิ์ไชย,3,3,15.9875,102.3958,767,488.0,780.0,488.0,453.0,30.0,5.0,292.0
KK10_โคกโพธิ์ไชย_โพธิ์ไชย_M4_U4,โคกโพธิ์ไชย,โพธิ์ไชย,4,4,15.9875,102.3958,648,359.0,660.0,359.0,341.0,17.0,1.0,301.0
KK10_โคกโพธิ์ไชย_โพธิ์ไชย_M5_U5,โคกโพธิ์ไชย,โพธิ์ไชย,5,5,15.9875,102.3958,672,404.0,720.0,404.0,380.0,19.0,5.0,316.0
KK10_โคกโพธิ์ไชย_โพธิ์ไชย_M6_U6,โคกโพธิ์ไชย,โพธิ์ไชย,6,6,15.9875,102.3958,413,241.0,420.0,241.0,224.0,16.0,1.0,179.0
KK10_โคกโพธิ์ไชย_โพธิ์ไชย_M7_U7,โคกโพธิ์ไชย,โพธิ์ไชย,7,7,15.9875,102.3958,623,384.0,650.0,384.0,357.0,15.0,12.0,266.0
KK10_โคกโพธิ์ไชย_โพธิ์ไชย_M8_U8,โคกโพธิ์ไชย,โพธิ์ไชย,8,8,15.9875,102.3958,423,232.0,440.0,232.0,218.0,14.0,0.0,208.0
KK10_โคกโพธิ์ไชย_โพธิ์ไชย_M8_U9,โคกโพธิ์ไชย,โพธิ์ไชย,8,9,15.9875,102.3958,407,271.0,480.0,271.0,264.0,2.0,5.0,209.0
KK10_เปือยน้อย_ขามป้อม_M10_U10,เปือยน้อย,ขามป้อม,10,10,15.8833,103.0083,211,141.0,200.0,141.0,130.0,11.0,0.0,59.0
KK10_เปือยน้อย_ขามป้อม_M1_U1,เปือยน้อย,ขามป้อม,1,1,15.8833,103.0083,482,280.0,480.0,280.0,266.0,14.0,0.0,200.0
KK10_เปือยน้อย_ขามป้อม_M2_U2,เปือยน้อย,ขามป้อม,2,2,15.8833,103.0083,589,322.0,580.0,322.0,302.0,20.0,0.0,258.0
KK10_เปือยน้อย_ขามป้อม_M3_U3,เปือยน้อย,ขามป้อม,3,3,15.8833,103.0083,461,269.0,460.0,269.0,260.0,4.0,5.0,191.0
KK10_เปือยน้อย_ขามป้อม_M4_U4,เปือยน้อย,ขามป้อม,4,4,15.8833,103.0083,741,442.0,740.0,442.0,404.0,33.0,5.0,298.0
KK10_เปือยน้อย_ขามป้อม_M5_U5,เปือยน้อย,ขามป้อม,5,5,15.8833,103.0083,345,233.0,340.0,233.0,219.0,14.0,0.0,107.0
KK10_เปือยน้อย_ขามป้อม_M6_U6,เปือยน้อย,ขามป้อม,6,6,15.8833,103.0083,562,328.0,560.0,328.0,310.0,17.0,1.0,232.0
KK10_เปือยน้อย_ขามป้อม_M7_U7,เปือยน้อย,ขามป้อม,7,7,15.8833,103.0083,520,285.0,520.0,285.0,265.0,14.0,6.0,235.0
KK10_เปือยน้อย_ขามป้อม_M8_U8,เปือยน้อย,ขามป้อม,8,8,15.8833,103.0083,227,115.0,220.0,115.0,110.0,4.0,1.0,105.0
KK10_เปือยน้อย_ขามป้อม_M9_U9,เปือยน้อย,ขามป้อม,9,9,15.8833,103.0083,414,232.0,400.0,232.0,211.0,17.0,4.0,168.0
KK10_เปือยน้อย_วังม่วง_M1_U1,เปือยน้อย,วังม่วง,1,1,15.8167,102.9083,838,526.0,526.0,526.0,484.0,41.0,1.0,294.0
KK10_เปือยน้อย_วังม่วง_M2_U2,เปือยน้อย,วังม่วง,2,2,15.8167,102.9083,822,550.0,800.0,550.0,529.0,20.0,1.0,250.0
KK10_เปือยน้อย_วังม่วง_M3_U3,เปือยน้อย,วังม่วง,3,3,15.8167,102.9083,521,344.0,500.0,344.0,321.0,22.0,1.0,156.0
